n,t,Term
 Anon et al,security consultant;network security;security book;security issue;computer science;Internet security;Linux security;Linux security book;Macintosh security;Web application security,"['secur', 'consult', 'network', 'secur', 'secur', 'book', 'secur', 'issu', 'comput', 'scienc', 'internet', 'secur', 'linux', 'secur', 'linux', 'secur', 'book', 'macintosh', 'secur', 'web', 'applic', 'secur']"
IEEE Region 7,Visual Language;different space;topological value iteration;Probabilistic Resource Space Model;heuristic search;broad range;normal form;Authorization Modeling;cyber space;entire state space,"['visual', 'languag', 'differ', 'space', 'topolog', 'valu', 'iter', 'probabilist', 'resourc', 'space', 'model', 'heurist', 'search', 'broad', 'rang', 'normal', 'form', 'author', 'model', 'cyber', 'space', 'entir', 'state', 'space']"
CHENG BO,Telecom Web services communication;hybrid services orchestration;IT service;hybrid service;similar service delivery platform;Web Service technology;Internet services functionalities;Web services accessibility;Web services technology;communication services orchestration,"['telecom', 'web', 'servic', 'commun', 'hybrid', 'servic', 'orchestr', 'it', 'servic', 'hybrid', 'servic', 'similar', 'servic', 'deliveri', 'platform', 'web', 'servic', 'technolog', 'internet', 'servic', 'function', 'web', 'servic', 'access', 'web', 'servic', 'technolog', 'commun', 'servic', 'orchestr']"
Jean Martinet,digital image;visual word;higher-level visual representation;weighting scheme;content-based image;content-based image retrieval;digital image acquisition device;face image;image object;query image,"['digit', 'imag', 'visual', 'word', 'higher-level', 'visual', 'represent', 'weight', 'scheme', 'content-bas', 'imag', 'content-bas', 'imag', 'retriev', 'digit', 'imag', 'acquisit', 'devic', 'face', 'imag', 'imag', 'object', 'queri', 'imag']"
Tetsuro Nishino,positive sample;song syntax;quantum circuit;induction algorithm;Bengalese finch;quantum recurrent circuit;tree-structured diagram;Ethological data mining;negation-limited inverters;constraint-based algorithm,"['posit', 'sampl', 'song', 'syntax', 'quantum', 'circuit', 'induct', 'algorithm', 'bengales', 'finch', 'quantum', 'recurr', 'circuit', 'tree-structur', 'diagram', 'etholog', 'data', 'mine', 'negation-limit', 'invert', 'constraint-bas', 'algorithm']"
G. Cortelazzo,frequency domain;depth data;proposed technique;color information;proposed method;proposed scheme;proposed system;experimental result;depth information;geometry information,"['frequenc', 'domain', 'depth', 'data', 'propos', 'techniqu', 'color', 'inform', 'propos', 'method', 'propos', 'scheme', 'propos', 'system', 'experiment', 'result', 'depth', 'inform', 'geometri', 'inform']"
Hiroaki Nishino,proposed system;haptic device;proposed method;application system;implementation method;new method;haptic interaction;DVR system;support system;system target,"['propos', 'system', 'haptic', 'devic', 'propos', 'method', 'applic', 'system', 'implement', 'method', 'new', 'method', 'haptic', 'interact', 'dvr', 'system', 'support', 'system', 'system', 'target']"
Michael K. Birbas,D converter;die area;ultra low area;integer divider;voltage variation;coarse ADC;low power consumption;lower power;power consumption;D design alternative,"['d', 'convert', 'die', 'area', 'ultra', 'low', 'area', 'integ', 'divid', 'voltag', 'variat', 'coars', 'adc', 'low', 'power', 'consumpt', 'lower', 'power', 'power', 'consumpt', 'd', 'design', 'altern']"
S. E. Salcudean,prostate brachytherapy;needle insertion;ultrasound image;needle image;needle position;tissue displacement;finite element method;transrectal ultrasound;ultrasound transducer;ultrasound volume,"['prostat', 'brachytherapi', 'needl', 'insert', 'ultrasound', 'imag', 'needl', 'imag', 'needl', 'posit', 'tissu', 'displac', 'finit', 'element', 'method', 'transrect', 'ultrasound', 'ultrasound', 'transduc', 'ultrasound', 'volum']"
David R. Hanson,programming language;data structure;dynamic scope;procedure mechanism;SL5 programming language;data object;source code;command language;common intermediate language;high-level language,"['program', 'languag', 'data', 'structur', 'dynam', 'scope', 'procedur', 'mechan', 'sl5', 'program', 'languag', 'data', 'object', 'sourc', 'code', 'command', 'languag', 'common', 'intermedi', 'languag', 'high-level', 'languag']"
